date,title,price,next_price,trend,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21
2021/10/15 22:00,THE AMERICAN DREAM IS DEAD AND BITCOIN HAS REPLACED IT,61209.42,61396.22,C,0.007305402,0.06833299,0.0715235,0.012446087,0.22820812,0.021434585,0.00365475,0.017990632,0.45680824,0.024333293,0.003046764,0.011094433,0.008312081,0.018643528,0.001094915,0.007500087,0.005390211,0.012559943,0.007617818,0.002307894,0.001312746,0.009081989
2021/10/15 20:00,BITCOIN EDUCATION FOR INDONESIA,61446.33,61372.13,A,0.010861078,0.10159194,0.025216078,0.09958135,0.014845887,0.1129881,0.005433586,0.026747013,0.43578285,0.03617676,0.004529681,0.016494302,0.012357726,0.027717685,0.00162783,0.011150519,0.008013728,0.018673103,0.011325552,0.003431189,0.001951684,0.013502363
2021/10/15 18:00,QUANTIFYING THE BITCOIN SUPPLY SHORTAGE,61762.01,61644.99,B,0.010860669,0.10158812,0.025215132,0.018503133,0.014845328,0.031866,0.005433381,0.026746005,0.51688445,0.0361754,0.00452951,0.01649368,0.012357261,0.027716642,0.001627769,0.011150099,0.008013425,0.018672401,0.011325126,0.00343106,0.001951611,0.09461379
2021/10/15 15:38,"SENATOR CYNTHIA LUMMIS ON US DEBT LIMIT RAISE: ""THANK GOD FOR BITCOIN""",59792.01,59885.73,B,0.006927355,0.06479683,0.016083186,0.011802014,0.009468925,0.072065346,0.003465621,0.017059637,0.27794868,0.02307407,0.002889097,0.010520307,0.007881939,0.3798368,0.001038254,0.007111965,0.005111273,0.06364981,0.007223604,0.002188463,0.001244813,0.008612005
2021/10/15 13:19,MASSMUTUAL BITCOIN INVESTMENT HAS TRIPLED IN DOLLAR VALUE,59789.1,59781.47,B,0.008200102,0.07670179,0.20276645,0.01397037,0.072450876,0.024059696,0.004102351,0.02019396,0.39026168,0.08855753,0.003419904,0.012453178,0.009330069,0.020926818,0.00122901,0.008418629,0.006050355,0.01409817,0.008550779,0.002590544,0.001473519,0.010194268
2021/10/15 12:56,SEC SET TO ALLOW BITCOIN FUTURES ETF TRADING NEXT WEEK,59254.49,59263.23,B,0.11040436,0.11653621,0.016083084,0.06353462,0.009468866,0.020325238,0.003465599,0.017059527,0.2779469,0.023073923,0.002889079,0.010520241,0.007881889,0.27637035,0.001038247,0.00711192,0.005111241,0.011909904,0.007223558,0.002188449,0.001244805,0.008611951
2021/10/15 12:55,BITCOIN AND THE LIGHTNING NETWORK: THE MOST EFFICIENT PAYMENT SYSTEM IN THE WORLD,59305.54,59278.2,A,0.006277724,0.058720328,0.014574941,0.010695248,0.008580951,0.0184193,0.003140623,0.015459822,0.6738573,0.020910235,0.002618164,0.009533737,0.007142789,0.016020874,0.000940889,0.100220166,0.00463195,0.010793088,0.006546191,0.001983234,0.001128077,0.007804391
2021/10/15 10:47,"BITCOIN, BITCOINERS AND CITADELS",59110.89,59151.16,C,0.010860666,0.10158808,0.10632749,0.018503128,0.014845324,0.031865988,0.00543338,0.026745996,0.5168842,0.03617539,0.004529509,0.016493674,0.012357256,0.027716633,0.001627768,0.011150096,0.008013424,0.018672394,0.011325122,0.003431058,0.00195161,0.01350185
2021/10/15 10:33,JACK DORSEYS SQUARE DOUBLES ITS MONEY ON BITCOIN INVESTMENT,59039.96,58945.73,B,0.008200009,0.07670093,0.019037899,0.013970212,0.011208502,0.024059426,0.004102305,0.08143768,0.32901183,0.08855656,0.003419865,0.012453038,0.009329964,0.020926585,0.001228996,0.008418534,0.006050287,0.2590785,0.008550683,0.002590515,0.001473503,0.010194153
2021/10/15 9:57,"BITCOIN PRICE HIT $60,000! NEW ALL TIME HIGH INBOUND",59263,59353.27,A,0.008200319,0.076703824,0.08027919,0.013970739,0.011208924,0.024060335,0.00410246,0.020194495,0.5739928,0.08854905,0.003419994,0.012453508,0.009330316,0.020927373,0.001229042,0.008418852,0.006050516,0.014098544,0.008551005,0.002590612,0.001473559,0.010194538
